Injured,MP,FG,FGA,FG%,2P,2PA,2P%,FT,FTA,TRB,AST,TOV,PTS,MP_total,PER,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,39.8,8.7,20.9,0.418,6,13,0.459,8.2,9.7,4.6,6,3.2,28.4,2942,24,0.377,0.464,2.3,6.6,27.2,2.4,0.3,31.4,9.3,1.5,10.8,0.177,5.5,-0.8,4.7,5
1,39.9,9.7,23.4,0.417,7.1,15.7,0.455,5.9,7.5,6,5.5,2.7,28,2675,25.3,0.328,0.319,3.9,8.5,28.3,1.8,1.1,33.2,8.1,0.4,8.4,0.151,7.6,-1.2,6.4,5.7
1,40.1,8.3,20.9,0.395,5.5,12.2,0.448,3.5,5.3,4.3,7.5,3.2,22.9,2686,20.7,0.415,0.251,2.7,6.1,37.9,3.2,0.8,30.1,4.3,3.2,7.5,0.133,4.7,0.5,5.2,4.8
1,40.3,8.2,17.1,0.48,5.2,10.3,0.511,4.9,5.2,6.3,2.1,1.9,24.2,3264,21.8,0.4,0.307,3.2,8.8,9.1,1.7,0.3,23.9,11.4,2.1,13.5,0.198,5.2,-1.3,3.9,4.9
1,40.3,8.8,16.9,0.525,7.7,13.3,0.577,3,3.7,11.8,1.8,1.5,21.8,3263,23.6,0.212,0.218,8.7,16.3,6.8,2.5,2.9,22.3,8.6,5.9,14.6,0.214,3.5,1.3,4.8,5.6
1,40.4,10.6,21.9,0.484,9.1,17.1,0.531,7.3,10.3,7.9,7.2,3.4,30,3027,29.1,0.219,0.47,4.9,11.1,37.3,2.4,2.1,33.5,10.7,4.6,15.2,0.242,8.2,2.6,10.9,9.8
1,40.7,8.7,20.1,0.433,6.7,14.2,0.472,8.2,10.1,5.9,6,4.1,27.6,2689,23.3,0.292,0.502,4,8.2,28.5,1.7,1.4,31.7,7.1,1,8.1,0.145,5.7,-0.8,5,4.7
1,40.8,10.6,22.8,0.463,8.8,17.6,0.497,8.7,10,5.7,5.4,3.3,31.6,3140,26.1,0.227,0.437,2.8,8.2,25.5,1.8,0.9,33.6,10.8,2.2,13,0.199,6.4,-0.5,5.9,6.1
1,40.8,9.2,21.3,0.431,7.3,15.7,0.468,5.5,7.1,6.2,5.7,2.6,25.7,3182,22.9,0.262,0.336,2.7,8.9,28.6,2.3,1.3,31.2,6.5,5.4,12,0.18,5.2,1.5,6.7,6.9
1,40.9,9.9,20.8,0.476,8.6,16.8,0.513,6.3,9,6.7,6,3.2,27.3,3190,24.5,0.191,0.432,3,9.6,29.1,2.1,1.3,31,8,5.7,13.7,0.206,5.9,2.2,8.1,8.1
1,40.9,8.2,19,0.431,5.6,12,0.469,6.5,8,4.7,5.1,3,25.5,648,9.7,0.016,0.372,10.4,14.8,9,1.9,2.1,19.4,-0.8,0.8,-0.1,-0.005,-5,-0.1,-5,-0.5
1,41,12.2,27.2,0.45,10,20.7,0.482,8.7,10.2,5.3,4.5,3.1,35.4,3277,28,0.238,0.377,2.6,7.6,24.1,2.4,0.7,38.7,11.6,3.7,15.3,0.224,7.4,0.2,7.6,8
1,42.3,10.3,24.2,0.424,8.9,19.7,0.451,8.7,10.5,4,7.9,4.6,30.7,3174,23.2,0.186,0.432,1.8,5.3,37.6,2.9,0.2,35,5.3,3.7,9,0.136,4.2,0,4.2,5
1,42.3,9.3,20.9,0.447,6.8,14.1,0.485,8.2,10,3.5,6.1,3.7,29.3,406,5.9,0,0.667,9.4,12.6,4.2,1.6,2.2,12.2,-0.3,0.4,0.1,0.014,-6.2,0.5,-5.7,-0.4
